timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733504281299,533,https://practice.expandtesting.com/authenticate-4,304,Not Modified,Thread Group 1-2,,true,,243,890,2,2,https://practice.expandtesting.com/assets/css/main.css?v=da0276bd,0,0,120
1733504281301,68,https://practice.expandtesting.com/authenticate-5,304,Not Modified,Thread Group 1-2,,true,,341,747,2,2,https://code.jquery.com/jquery-3.6.3.min.js,0,0,0
1733504281300,69,https://practice.expandtesting.com/authenticate-6,304,Not Modified,Thread Group 1-2,,true,,362,751,2,2,https://cdn.jsdelivr.net/npm/bootstrap@5.2.0/dist/js/bootstrap.bundle.min.js,0,0,0
1733504281301,72,https://practice.expandtesting.com/authenticate-7,304,Not Modified,Thread Group 1-2,,true,,890,778,2,2,https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js,0,0,0
1733504281369,448,https://practice.expandtesting.com/authenticate-8,200,OK,Thread Group 1-2,text,true,,422778,677,2,2,https://www.googletagmanager.com/gtag/js?id=G-90GRT6N40B,267,0,142
1733504281370,400,https://practice.expandtesting.com/authenticate-9,200,OK,Thread Group 1-2,text,true,,160235,750,2,2,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1056034821646296,224,0,142
1733504281386,527,https://practice.expandtesting.com/authenticate-10,304,Not Modified,Thread Group 1-2,,true,,242,881,2,2,https://practice.expandtesting.com/assets/images/logo.svg,0,0,119
1733504281373,514,https://practice.expandtesting.com/authenticate-11,304,Not Modified,Thread Group 1-2,,true,,242,904,2,2,https://practice.expandtesting.com/assets/plugins/back-to-top/back-to-top.min.js,0,0,123
1733504281592,378,https://practice.expandtesting.com/authenticate-12,304,Not Modified,Thread Group 1-2,,true,,242,876,2,2,https://practice.expandtesting.com/assets/js/main.js,0,0,0
1733504281770,437,https://practice.expandtesting.com/authenticate-13,304,Not Modified,Thread Group 1-2,,true,,242,875,2,2,https://practice.expandtesting.com/script/script.js,0,0,143
1733504281818,422,https://practice.expandtesting.com/authenticate-14,304,Not Modified,Thread Group 1-2,,true,,113,823,2,2,https://practice.expandtesting.com/socket.io/socket.io.min.js,0,0,128
1733504272269,3614,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,1727412,22445,2,2,null,939,6360,311
1733504282249,3759,https://practice.expandtesting.com/authenticate,200,OK,Thread Group 1-3,text,true,,600182,12888,1,1,https://practice.expandtesting.com/login,449,0,118
1733504282249,449,https://practice.expandtesting.com/authenticate-0,302,Found,Thread Group 1-3,text,true,,683,827,1,1,https://practice.expandtesting.com/authenticate,449,0,118
1733504282699,337,https://practice.expandtesting.com/authenticate-1,200,OK,Thread Group 1-3,text,true,,12726,851,1,1,https://practice.expandtesting.com/login,299,0,0
1733504283472,1773,https://practice.expandtesting.com/authenticate-2,304,Not Modified,Thread Group 1-3,,true,,242,852,1,1,https://practice.expandtesting.com/assets/images/favicon.png,0,0,0
1733504283473,1751,https://practice.expandtesting.com/authenticate-3,304,Not Modified,Thread Group 1-3,,true,,363,753,1,1,https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css,0,0,0
1733504283475,2109,https://practice.expandtesting.com/authenticate-4,304,Not Modified,Thread Group 1-3,,true,,243,858,1,1,https://practice.expandtesting.com/assets/css/main.css?v=da0276bd,0,0,1815
1733504283475,1751,https://practice.expandtesting.com/authenticate-5,304,Not Modified,Thread Group 1-3,,true,,341,747,1,1,https://code.jquery.com/jquery-3.6.3.min.js,0,0,0
1733504283474,1759,https://practice.expandtesting.com/authenticate-6,304,Not Modified,Thread Group 1-3,,true,,362,751,1,1,https://cdn.jsdelivr.net/npm/bootstrap@5.2.0/dist/js/bootstrap.bundle.min.js,0,0,0
1733504283474,22,https://practice.expandtesting.com/authenticate-7,304,Not Modified,Thread Group 1-3,,true,,896,778,1,1,https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js,0,0,0
1733504283497,2104,https://practice.expandtesting.com/authenticate-8,200,OK,Thread Group 1-3,text,true,,422768,677,1,1,https://www.googletagmanager.com/gtag/js?id=G-90GRT6N40B,1901,0,1828
1733504285241,320,https://practice.expandtesting.com/authenticate-9,200,OK,Thread Group 1-3,text,true,,160234,749,1,1,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1056034821646296,182,0,106
1733504285241,410,https://practice.expandtesting.com/authenticate-10,304,Not Modified,Thread Group 1-3,,true,,242,849,1,1,https://practice.expandtesting.com/assets/images/logo.svg,0,0,113
1733504285246,427,https://practice.expandtesting.com/authenticate-11,304,Not Modified,Thread Group 1-3,,true,,243,846,1,1,https://practice.expandtesting.com/img/auth-login.png,0,0,131
1733504285249,425,https://practice.expandtesting.com/authenticate-12,304,Not Modified,Thread Group 1-3,,true,,242,872,1,1,https://practice.expandtesting.com/assets/plugins/back-to-top/back-to-top.min.js,0,0,130
1733504285562,405,https://practice.expandtesting.com/authenticate-13,304,Not Modified,Thread Group 1-3,,true,,242,844,1,1,https://practice.expandtesting.com/assets/js/main.js,0,0,110
1733504285585,406,https://practice.expandtesting.com/authenticate-14,304,Not Modified,Thread Group 1-3,,true,,242,843,1,1,https://practice.expandtesting.com/script/script.js,0,0,112
1733504285602,406,https://practice.expandtesting.com/authenticate-15,304,Not Modified,Thread Group 1-3,,true,,113,791,1,1,https://practice.expandtesting.com/socket.io/socket.io.min.js,0,0,112
1733504275648,6170,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,1730414,23086,1,1,null,933,4193,304
